"","name","rating","reviews","address","locality","phone_number","price","cusine"
"1","Chuck's","4.5","288","237 S Wilmington St","Raleigh, NC 27601-1433","919-589-7428","$$ - $$$","American"
"2","Beasley's Chicken & Honey","4.5","696","200 S Wilmington St","Raleigh, NC 27601-1434","919-322-0127","$$ - $$$","American"
"3","Beasley's Chicken & Honey","4.5","696","200 S Wilmington St","Raleigh, NC 27601-1434","919-322-0127","$$ - $$$","Vegetarian Friendly"
"4","Rey's Restaurant","4.5","225","1130 Buck Jones Rd","Raleigh, NC 27606-3325","919-380-0122","$$$$","American"
"5","Rey's Restaurant","4.5","225","1130 Buck Jones Rd","Raleigh, NC 27606-3325","919-380-0122","$$$$","Steakhouse"
"6","Rey's Restaurant","4.5","225","1130 Buck Jones Rd","Raleigh, NC 27606-3325","919-380-0122","$$$$","Cajun & Creole"
"7","Seasons 52","4.5","151","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-787-3052","$$ - $$$","American"
"8","Seasons 52","4.5","151","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-787-3052","$$ - $$$","Vegetarian Friendly"
"9","Seasons 52","4.5","151","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-787-3052","$$ - $$$","Vegan Options"
"10","Clouds Brewing","4.5","145","126 N West St","Raleigh, NC 27603-1744","919-307-8335","$$ - $$$","American"
"11","Stanbury","4.5","127","938 N Blount St","Raleigh, NC 27604-1128","919-977-4321","$$$$","American"
"12","Stanbury","4.5","127","938 N Blount St","Raleigh, NC 27604-1128","919-977-4321","$$$$","Vegetarian Friendly"
"13","Stanbury","4.5","127","938 N Blount St","Raleigh, NC 27604-1128","919-977-4321","$$$$","Vegan Options"
"14","Vivace","4.5","280","4209 Lassiter Mill Rd Ste 115","Raleigh, NC 27609-5882","919-787-7747","$$ - $$$","Italian"
"15","Vivace","4.5","280","4209 Lassiter Mill Rd Ste 115","Raleigh, NC 27609-5882","919-787-7747","$$ - $$$","Vegetarian Friendly"
"16","Vivace","4.5","280","4209 Lassiter Mill Rd Ste 115","Raleigh, NC 27609-5882","919-787-7747","$$ - $$$","Vegan Options"
"17","Gravy","4.5","400","135 S Wilmington St","Raleigh, NC 27601-1431","919-896-8513","$$ - $$$","Italian"
"18","Gravy","4.5","400","135 S Wilmington St","Raleigh, NC 27601-1431","919-896-8513","$$ - $$$","Asian"
"19","Gravy","4.5","400","135 S Wilmington St","Raleigh, NC 27601-1431","919-896-8513","$$ - $$$","Vegetarian Friendly"
"20","Coquette Brasserie","4.0","414","4351 The Circle At North Hills St","Raleigh, NC 27609-5751","919-789-0606","$$ - $$$","French"
"21","Coquette Brasserie","4.0","414","4351 The Circle At North Hills St","Raleigh, NC 27609-5751","919-789-0606","$$ - $$$","European"
"22","Coquette Brasserie","4.0","414","4351 The Circle At North Hills St","Raleigh, NC 27609-5751","919-789-0606","$$ - $$$","Asian"
"23","Iris at NC Museum of Art","4.5","189","2110 Blue Ridge Rd","Raleigh, NC 27607-6433","919-664-6838","$$ - $$$","American"
"24","Iris at NC Museum of Art","4.5","189","2110 Blue Ridge Rd","Raleigh, NC 27607-6433","919-664-6838","$$ - $$$","Vegetarian Friendly"
"25","Iris at NC Museum of Art","4.5","189","2110 Blue Ridge Rd","Raleigh, NC 27607-6433","919-664-6838","$$ - $$$","Gluten Free Options"
"26","Tazza Kitchen Cameron Village","4.5","159","432 Woodburn Road","Raleigh, NC 27605-1324","919-835-9463","$$ - $$$","American"
"27","Tazza Kitchen Cameron Village","4.5","159","432 Woodburn Road","Raleigh, NC 27605-1324","919-835-9463","$$ - $$$","Vegetarian Friendly"
"28","Tazza Kitchen Cameron Village","4.5","159","432 Woodburn Road","Raleigh, NC 27605-1324","919-835-9463","$$ - $$$","Vegan Options"
"29","Sullivan's Steakhouse","4.0","389","410 Glenwood Avenue","Raleigh, NC 27603","919-833-2888","$$$$","American"
"30","Sullivan's Steakhouse","4.0","389","410 Glenwood Avenue","Raleigh, NC 27603","919-833-2888","$$$$","Steakhouse"
"31","Sullivan's Steakhouse","4.0","389","410 Glenwood Avenue","Raleigh, NC 27603","919-833-2888","$$$$","Gluten Free Options"
"32","ORO","4.5","189","18 E Martin St","Raleigh, NC 27601-1842","919-239-4010","$$ - $$$","American"
"33","ORO","4.5","189","18 E Martin St","Raleigh, NC 27601-1842","919-239-4010","$$ - $$$","Vegetarian Friendly"
"34","ORO","4.5","189","18 E Martin St","Raleigh, NC 27601-1842","919-239-4010","$$ - $$$","Vegan Options"
"35","The Pit Authentic Barbecue","4.0","2,708","328 W Davie St","Raleigh, NC 27601-1746","919-890-4500","$$ - $$$","American"
"36","The Pit Authentic Barbecue","4.0","2,708","328 W Davie St","Raleigh, NC 27601-1746","919-890-4500","$$ - $$$","Barbecue"
"37","The Pit Authentic Barbecue","4.0","2,708","328 W Davie St","Raleigh, NC 27601-1746","919-890-4500","$$ - $$$","Gluten Free Options"
"38","Garland","4.5","123","14 W Martin St","Raleigh, NC 27601-1320","919-833-6886","$$ - $$$","Indian"
"39","Garland","4.5","123","14 W Martin St","Raleigh, NC 27601-1320","919-833-6886","$$ - $$$","Asian"
"40","Garland","4.5","123","14 W Martin St","Raleigh, NC 27601-1320","919-833-6886","$$ - $$$","Vegetarian Friendly"
"41","P.F. Chang's","4.0","337","4325 Glenwood Ave Ste 2089","Raleigh, NC 27612","919-787-7754","$$ - $$$","Chinese"
"42","P.F. Chang's","4.0","337","4325 Glenwood Ave Ste 2089","Raleigh, NC 27612","919-787-7754","$$ - $$$","Vegetarian Friendly"
"43","P.F. Chang's","4.0","337","4325 Glenwood Ave Ste 2089","Raleigh, NC 27612","919-787-7754","$$ - $$$","Gluten Free Options"
"44","Jose & Sons","4.0","229","327 W Davie St","Raleigh, NC 27601-1702","919-755-0556","$$ - $$$","Mexican"
"45","Jose & Sons","4.0","229","327 W Davie St","Raleigh, NC 27601-1702","919-755-0556","$$ - $$$","Vegetarian Friendly"
"46","Sono Japanese Restaurant","4.5","172","319 Fayetteville St Ste 101","Raleigh, NC 27601-1978","919-521-5328","$$ - $$$","Japanese"
"47","Sono Japanese Restaurant","4.5","172","319 Fayetteville St Ste 101","Raleigh, NC 27601-1978","919-521-5328","$$ - $$$","Sushi"
"48","Sono Japanese Restaurant","4.5","172","319 Fayetteville St Ste 101","Raleigh, NC 27601-1978","919-521-5328","$$ - $$$","Asian"
"49","Centro","4.5","145","106 S Wilmington St","Raleigh, NC 27601-1432","919-835-3593","$$ - $$$","Mexican"
"50","Centro","4.5","145","106 S Wilmington St","Raleigh, NC 27601-1432","919-835-3593","$$ - $$$","Latin"
"51","Centro","4.5","145","106 S Wilmington St","Raleigh, NC 27601-1432","919-835-3593","$$ - $$$","Vegetarian Friendly"
"52","BRIO Tuscan Grille","4.0","280","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-881-2048","$$ - $$$","Italian"
"53","BRIO Tuscan Grille","4.0","280","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-881-2048","$$ - $$$","Vegetarian Friendly"
"54","BRIO Tuscan Grille","4.0","280","4325 Glenwood Ave","Raleigh, NC 27612-4532","919-881-2048","$$ - $$$","Vegan Options"
"55","J. Alexander's","4.5","143","4600 Crabtree Valley Ave","Raleigh, NC 27612-5735","984-200-4493","$$ - $$$","American"
"56","J. Alexander's","4.5","143","4600 Crabtree Valley Ave","Raleigh, NC 27612-5735","984-200-4493","$$ - $$$","Vegetarian Friendly"
"57","J. Alexander's","4.5","143","4600 Crabtree Valley Ave","Raleigh, NC 27612-5735","984-200-4493","$$ - $$$","Vegan Options"
"58","Oak City Meatball Shoppe","4.5","116","180 E Davie St","Raleigh, NC 27601-1806","919-714-9014","$$ - $$$","American"
"59","Oak City Meatball Shoppe","4.5","116","180 E Davie St","Raleigh, NC 27601-1806","919-714-9014","$$ - $$$","Vegetarian Friendly"
"60","The Raleigh Times Bar","4.0","394","14 E Hargett St","Raleigh, NC 27601-1426","919-833-0999","$$ - $$$","American"
"61","Mandolin","4.5","161","2519 Fairview Rd","Raleigh, NC 27608-1327",NA,"$$$$","American"
"62","Mandolin","4.5","161","2519 Fairview Rd","Raleigh, NC 27608-1327",NA,"$$$$","Vegetarian Friendly"
"63","Mandolin","4.5","161","2519 Fairview Rd","Raleigh, NC 27608-1327",NA,"$$$$","Vegan Options"
"64","SoCa","4.5","83","2130 Clark Ave","Raleigh, NC 27605-1606","919-322-0440","$$ - $$$","Caribbean"
"65","SoCa","4.5","83","2130 Clark Ave","Raleigh, NC 27605-1606","919-322-0440","$$ - $$$","Latin"
"66","Mami Nora's","4.5","221","2401 Wake Forest Rd","Raleigh, NC 27608-1709","919-834-8572","$","Peruvian"
"67","Mami Nora's","4.5","221","2401 Wake Forest Rd","Raleigh, NC 27608-1709","919-834-8572","$","Latin"
"68","Mami Nora's","4.5","221","2401 Wake Forest Rd","Raleigh, NC 27608-1709","919-834-8572","$","Gluten Free Options"
"69","Trophy Brewing and Pizza","4.5","126","827 W Morgan St","Raleigh, NC 27603-1613","919-803-4849","$$ - $$$","American"
"70","Trophy Brewing and Pizza","4.5","126","827 W Morgan St","Raleigh, NC 27603-1613","919-803-4849","$$ - $$$","Pizza"
"71","The Capital Grille","4.5","140","4242 Six Forks Rd","Raleigh, NC 27609-6084","919-787-3901","$$$$","American"
"72","The Capital Grille","4.5","140","4242 Six Forks Rd","Raleigh, NC 27609-6084","919-787-3901","$$$$","Steakhouse"
"73","The Capital Grille","4.5","140","4242 Six Forks Rd","Raleigh, NC 27609-6084","919-787-3901","$$$$","Gluten Free Options"
"74","Brixx Wood Fired Pizza","4.0","166","8511 Brier Creek Pkwy","Raleigh, NC 27617-7333","919-246-0640","$$ - $$$","Italian"
"75","Brixx Wood Fired Pizza","4.0","166","8511 Brier Creek Pkwy","Raleigh, NC 27617-7333","919-246-0640","$$ - $$$","Pizza"
"76","Brixx Wood Fired Pizza","4.0","166","8511 Brier Creek Pkwy","Raleigh, NC 27617-7333","919-246-0640","$$ - $$$","Vegetarian Friendly"
"77","Bahama Breeze","4.0","492","3309 Wake Forest Rd","Raleigh, NC 27609-7314","919-872-6330","$$ - $$$","American"
"78","Bahama Breeze","4.0","492","3309 Wake Forest Rd","Raleigh, NC 27609-7314","919-872-6330","$$ - $$$","Caribbean"
"79","Bella Monica Italian Restaurant","4.0","333","3121 Edwards Mill Rd Ste 103","Raleigh, NC 27612-5369","919-881-9778","$$ - $$$","Italian"
"80","Bella Monica Italian Restaurant","4.0","333","3121 Edwards Mill Rd Ste 103","Raleigh, NC 27612-5369","919-881-9778","$$ - $$$","Pizza"
"81","Bella Monica Italian Restaurant","4.0","333","3121 Edwards Mill Rd Ste 103","Raleigh, NC 27612-5369","919-881-9778","$$ - $$$","Asian"
